,GSM_code,latitude,longitude,sending_time
0,Osa_70,34.210909, 135.012638,2015-02-10 01:40:37.757953
1,Kob_15,34.205890, 135.293856,2015-02-10 01:40:37.785683
2,Kob_73,34.205615, 135.369915,2015-02-10 01:40:37.802311
3,Kob_33,34.214521, 135.259547,2015-02-10 01:40:37.823260
4,Kob_27,34.207537, 135.476846,2015-02-10 01:40:37.845842
5,Osa_43,34.227202, 135.309623,2015-02-10 01:40:37.868640
6,Kob_28,34.236875, 135.308273,2015-02-10 01:40:37.886027
7,Kob_39,34.224594, 135.550456,2015-02-10 01:40:37.904393
8,Kob_85,34.242456, 135.201160,2015-02-10 01:40:37.918331
9,Kob_71,34.228029, 135.553496,2015-02-10 01:40:37.930157
10,Osa_53,34.254934, 135.167512,2015-02-10 01:40:37.942905
11,Osa_13,34.225319, 135.781030,2015-02-10 01:40:37.955369
12,Osa_47,34.266090, 135.033385,2015-02-10 01:40:37.969616
13,Osa_97,34.224925, 135.850005,2015-02-10 01:40:37.984181
14,Kob_34,34.258847, 135.441804,2015-02-10 01:40:37.996954
15,Osa_64,34.275234, 135.187631,2015-02-10 01:40:38.011116
16,Osa_07,34.278301, 135.108498,2015-02-10 01:40:38.027441
17,Osa_61,34.232793, 135.906451,2015-02-10 01:40:38.078858
18,Osa_96,34.267148, 135.549737,2015-02-10 01:40:38.099144
19,Kob_37,34.285483, 135.184378,2015-02-10 01:40:38.111160
20,Osa_18,34.267911, 135.757072,2015-02-10 01:40:38.124584
21,Kob_72,34.289229, 135.460698,2015-02-10 01:40:38.138391
22,Kob_79,34.302253, 135.356625,2015-02-10 01:40:38.151450
23,Kob_78,34.324173, 135.274856,2015-02-10 01:40:38.167793
24,Osa_17,34.328197, 135.292683,2015-02-10 01:40:38.184138
25,Kob_14,34.312361, 135.643203,2015-02-10 01:40:38.194944
26,Fuk_25,33.223360, 130.831400,2015-02-10 01:40:38.212231
27,Kob_11,34.345096, 134.992952,2015-02-10 01:40:38.226044
28,Kob_74,34.326468, 135.571770,2015-02-10 01:40:38.240192
29,Fuk_45,33.149636, 130.704042,2015-02-10 01:40:38.256467
30,Kob_94,34.335593, 135.495193,2015-02-10 01:40:38.271876
31,Kob_02,34.329958, 135.591077,2015-02-10 01:40:38.284891
32,Osa_58,34.305337, 135.880762,2015-02-10 01:40:38.300943
33,Kob_19,34.354034, 134.824098,2015-02-10 01:40:38.329125
34,Kob_76,34.362081, 134.739788,2015-02-10 01:40:38.342459
35,Kob_20,34.365488, 134.834276,2015-02-10 01:40:38.362432
36,Kob_95,34.353977, 135.522436,2015-02-10 01:40:38.377298
37,Osa_15,34.350505, 135.774016,2015-02-10 01:40:38.394969
38,Osa_34,34.348063, 135.806290,2015-02-10 01:40:38.410709
39,Fuk_65,33.182926, 130.680516,2015-02-10 01:40:38.424840
40,Osa_49,34.338421, 135.938388,2015-02-10 01:40:38.442890
41,Kob_89,34.369831, 135.591841,2015-02-10 01:40:38.459085
42,Osa_79,34.389432, 135.168724,2015-02-10 01:40:38.485256
43,Osa_59,34.380625, 135.431704,2015-02-10 01:40:38.505414
